user_id,date_served,marketing_channel,variant,language_displayed,language_preferred,age_group,date_subscribed,date_canceled
a100002562,1/5/2018,Youtube,control,Spanish,Spanish,19-24 years,,
a100002563,1/5/2018,Youtube,control,English,English,24-30 years,,
a100002564,1/5/2018,Youtube,control,English,English,30-36 years,,
a100002565,1/5/2018,LinkedIn,control,English,English,36-45 years,,
a100002566,1/5/2018,Facebook,control,English,English,45-55 years,,
a100002567,1/6/2018,Instagram,control,English,English,0-18 years,,
a100002568,1/6/2018,Instagram,control,English,English,19-24 years,,
a100002569,1/5/2018,Instagram,control,English,English,19-24 years,,
a100002570,1/6/2018,Facebook,control,English,English,24-30 years,,
a100002571,1/6/2018,Youtube,control,English,English,30-36 years,,
a100002572,1/6/2018,Youtube,control,Spanish,Spanish,36-45 years,,
a100002573,1/6/2018,Youtube,control,English,English,45-55 years,,
a100002574,1/6/2018,LinkedIn,control,English,English,0-18 years,,
a100002575,1/6/2018,Facebook,control,English,English,19-24 years,,
a100002576,1/6/2018,Instagram,control,English,English,24-30 years,,
a100002577,1/7/2018,Instagram,control,English,English,30-36 years,,
a100002578,1/7/2018,Facebook,control,English,English,36-45 years,,
a100002579,1/7/2018,Youtube,control,English,English,45-55 years,,
a100002580,1/7/2018,Youtube,control,English,English,0-18 years,,
a100002581,1/7/2018,Youtube,control,Spanish,Spanish,19-24 years,,
a100002582,1/7/2018,LinkedIn,control,English,English,24-30 years,,
a100002583,1/8/2018,Facebook,control,English,English,30-36 years,,
a100002584,1/8/2018,Instagram,control,English,English,36-45 years,,
a100002585,1/8/2018,Instagram,control,English,English,45-55 years,,
a100002586,1/8/2018,Facebook,control,English,English,0-18 years,,
a100002587,1/8/2018,Youtube,control,English,English,19-24 years,,
a100002588,1/8/2018,Youtube,control,English,English,24-30 years,,
a100002589,1/8/2018,Youtube,control,English,English,30-36 years,,
a100002590,1/9/2018,LinkedIn,control,English,English,36-45 years,,
a100002591,1/9/2018,Facebook,control,English,English,45-55 years,,
a100002592,1/9/2018,Instagram,control,English,English,0-18 years,,
a100002593,1/9/2018,Instagram,control,English,English,19-24 years,,
a100002594,1/9/2018,Facebook,control,English,English,24-30 years,,
a100002595,1/9/2018,Youtube,control,Spanish,Spanish,30-36 years,,
a100002596,1/9/2018,Youtube,control,English,English,36-45 years,,
a100002597,1/10/2018,Youtube,control,English,English,45-55 years,,
a100002598,1/10/2018,LinkedIn,control,English,English,0-18 years,,
a100002599,1/10/2018,Facebook,control,English,English,19-24 years,,
a100002600,1/10/2018,Instagram,control,English,English,24-30 years,,
a100002601,1/10/2018,Instagram,control,English,English,30-36 years,,
a100002602,1/10/2018,Facebook,control,English,English,36-45 years,,
a100002603,1/10/2018,Youtube,control,English,English,45-55 years,,
a100002604,1/11/2018,Youtube,control,English,English,0-18 years,,
a100002605,1/11/2018,Youtube,control,Spanish,Spanish,19-24 years,,
a100002606,1/11/2018,LinkedIn,control,English,English,24-30 years,,
a100002607,1/11/2018,Facebook,control,English,English,30-36 years,,
a100002608,1/11/2018,Instagram,control,English,English,36-45 years,,
a100002609,1/11/2018,Instagram,control,English,English,45-55 years,,
a100002610,1/11/2018,Facebook,control,English,English,0-18 years,,
a100002611,1/12/2018,Youtube,control,English,English,19-24 years,,
a100002612,1/12/2018,Youtube,control,English,English,24-30 years,,
a100002613,1/12/2018,Youtube,control,English,English,30-36 years,,
a100002614,1/12/2018,LinkedIn,control,English,English,36-45 years,,
a100002615,1/12/2018,Facebook,control,English,English,45-55 years,,
a100002616,1/12/2018,Instagram,control,English,English,0-18 years,,
a100002617,1/12/2018,Instagram,control,English,English,19-24 years,,
a100002618,1/13/2018,Facebook,control,English,English,24-30 years,,
a100002619,1/13/2018,Youtube,control,English,Spanish,30-36 years,,
a100002620,1/13/2018,Youtube,control,English,English,36-45 years,,
a100002621,1/13/2018,Youtube,control,English,English,45-55 years,,
a100002622,1/13/2018,LinkedIn,control,English,English,0-18 years,,
a100002623,1/13/2018,Facebook,control,English,English,19-24 years,,
a100002624,1/13/2018,Instagram,control,English,English,24-30 years,,
a100002625,1/14/2018,Instagram,control,English,English,30-36 years,,
a100002626,1/14/2018,Facebook,control,English,English,36-45 years,,
a100002627,1/14/2018,Youtube,control,English,Spanish,45-55 years,,
a100002628,1/14/2018,Youtube,control,English,English,0-18 years,,
a100002629,1/14/2018,Youtube,control,English,English,19-24 years,,
a100002630,1/14/2018,LinkedIn,control,English,English,24-30 years,,
a100002631,1/14/2018,Facebook,control,English,English,30-36 years,,
a100002632,1/15/2018,Instagram,control,English,English,36-45 years,,
a100002633,1/15/2018,Instagram,control,English,English,45-55 years,,
a100002634,1/15/2018,Facebook,control,English,English,0-18 years,,
a100002635,1/15/2018,Youtube,control,English,English,19-24 years,,
a100002636,1/15/2018,Youtube,control,English,English,24-30 years,,
a100002637,1/15/2018,Youtube,control,English,Spanish,30-36 years,,
a100002638,1/15/2018,LinkedIn,control,English,English,36-45 years,,
a100002639,1/16/2018,Facebook,control,English,English,45-55 years,,
a100002640,1/16/2018,Instagram,control,English,English,0-18 years,,
a100002641,1/16/2018,Instagram,control,English,English,19-24 years,,
a100002642,1/16/2018,Facebook,control,English,English,24-30 years,,
a100002643,1/16/2018,Youtube,control,English,English,30-36 years,,
a100002644,1/16/2018,Youtube,control,English,English,36-45 years,,
a100002645,1/16/2018,Youtube,control,English,English,45-55 years,,
a100002646,1/17/2018,LinkedIn,control,English,English,0-18 years,,
a100002647,1/17/2018,Facebook,control,English,English,19-24 years,,
a100002648,1/17/2018,Instagram,control,English,English,24-30 years,,
a100002649,1/17/2018,Instagram,control,English,English,30-36 years,,
a100002650,1/17/2018,Facebook,control,English,English,36-45 years,,
a100002651,1/17/2018,Youtube,control,English,English,45-55 years,,
a100002652,1/17/2018,Youtube,control,English,English,0-18 years,,
a100002653,1/18/2018,Youtube,control,English,Spanish,19-24 years,,
a100002654,1/18/2018,LinkedIn,control,English,English,24-30 years,,
a100002655,1/18/2018,Facebook,control,English,English,30-36 years,,
a100002656,1/18/2018,Instagram,control,English,English,36-45 years,,
a100002657,1/18/2018,Instagram,control,English,English,45-55 years,,
a100002658,1/18/2018,Facebook,control,English,English,0-18 years,,
a100002659,1/18/2018,Youtube,control,English,English,19-24 years,,
a100002660,1/19/2018,Youtube,control,English,English,24-30 years,,
a100002661,1/19/2018,Youtube,control,English,English,30-36 years,,
a100002662,1/19/2018,LinkedIn,control,English,English,36-45 years,,
a100002663,1/19/2018,Facebook,control,English,English,45-55 years,,
a100002664,1/19/2018,Instagram,control,English,English,0-18 years,,
a100002665,1/19/2018,Instagram,control,English,English,19-24 years,,
a100002666,1/19/2018,Facebook,control,English,English,24-30 years,,
a100002667,1/20/2018,Youtube,control,English,English,30-36 years,,
a100002668,1/20/2018,Youtube,control,English,Spanish,36-45 years,,
a100002669,1/20/2018,Youtube,control,English,English,45-55 years,,
a100002670,1/20/2018,LinkedIn,control,English,English,0-18 years,,
a100002671,1/20/2018,Facebook,control,English,English,19-24 years,,
a100002672,1/20/2018,Instagram,control,English,English,24-30 years,,
a100002673,1/20/2018,Instagram,control,English,English,30-36 years,,
a100002674,1/21/2018,Facebook,control,English,English,36-45 years,,
a100002675,1/21/2018,Youtube,control,English,English,45-55 years,,
a100002676,1/21/2018,Youtube,control,English,English,0-18 years,,
a100002677,1/21/2018,Youtube,control,English,Spanish,19-24 years,,
a100002678,1/21/2018,LinkedIn,control,English,English,24-30 years,,
a100002679,1/21/2018,Facebook,control,English,English,30-36 years,,
a100002680,1/21/2018,Instagram,control,English,English,36-45 years,,
a100002681,1/22/2018,Instagram,control,English,English,45-55 years,,
a100002682,1/22/2018,Facebook,control,English,English,0-18 years,,
a100002683,1/22/2018,Youtube,control,English,English,19-24 years,,
a100002684,1/22/2018,Youtube,control,English,English,24-30 years,,
a100002685,1/22/2018,Youtube,control,English,English,30-36 years,,
a100002686,1/22/2018,LinkedIn,control,English,English,36-45 years,,
a100002687,1/22/2018,Facebook,control,English,English,45-55 years,,
a100002688,1/23/2018,Instagram,control,English,English,0-18 years,,
a100002689,1/23/2018,Instagram,control,English,English,19-24 years,,
a100002690,1/23/2018,Facebook,control,English,English,24-30 years,,
a100002691,1/23/2018,Youtube,control,English,English,30-36 years,,
a100002692,1/23/2018,Youtube,control,English,Spanish,36-45 years,,
a100002693,1/23/2018,Youtube,control,English,English,45-55 years,,
a100002694,1/23/2018,LinkedIn,control,English,English,0-18 years,,
a100002695,1/24/2018,Facebook,control,English,English,19-24 years,,
a100002696,1/24/2018,Instagram,control,English,English,24-30 years,,
a100002697,1/24/2018,Instagram,control,English,English,30-36 years,,
a100002698,1/24/2018,Facebook,control,English,English,36-45 years,,
a100002699,1/24/2018,Youtube,control,English,English,45-55 years,,
a100002700,1/24/2018,Youtube,control,English,English,0-18 years,,
a100002701,1/24/2018,Youtube,control,English,English,19-24 years,,
a100002702,1/24/2018,LinkedIn,control,English,English,24-30 years,,
a100002703,1/25/2018,Facebook,control,English,English,30-36 years,,
a100002704,1/25/2018,Instagram,control,English,English,36-45 years,,
a100002705,1/25/2018,Instagram,control,English,English,45-55 years,,
a100002706,1/25/2018,Facebook,control,English,English,0-18 years,,
a100002707,1/25/2018,Youtube,control,English,Spanish,19-24 years,,
a100002708,1/25/2018,Youtube,control,English,English,24-30 years,,
a100002709,1/25/2018,Youtube,control,English,English,30-36 years,,
a100002710,1/26/2018,LinkedIn,control,English,English,36-45 years,,
a100002711,1/26/2018,Facebook,control,English,English,45-55 years,,
a100002712,1/26/2018,Instagram,control,English,English,0-18 years,,
a100002713,1/26/2018,Instagram,control,English,English,19-24 years,,
a100002714,1/26/2018,Facebook,control,English,English,24-30 years,,
a100002715,1/26/2018,Youtube,control,English,Spanish,30-36 years,,
a100002716,1/26/2018,Youtube,control,English,English,36-45 years,,
a100002717,1/27/2018,Youtube,control,English,English,45-55 years,,
a100002718,1/27/2018,LinkedIn,control,English,English,0-18 years,,
a100002719,1/27/2018,Facebook,control,English,English,19-24 years,,
a100002720,1/27/2018,Instagram,control,English,English,24-30 years,,
a100002721,1/27/2018,Instagram,control,English,English,30-36 years,,
a100002722,1/27/2018,Facebook,control,English,English,36-45 years,,
a100002723,1/27/2018,Youtube,control,English,English,45-55 years,,
a100002724,1/28/2018,Youtube,control,English,Spanish,0-18 years,,
a100002725,1/28/2018,Youtube,control,English,English,19-24 years,,
a100002726,1/28/2018,LinkedIn,control,English,English,24-30 years,,
a100002727,1/28/2018,Facebook,control,English,English,30-36 years,,
a100002728,1/28/2018,Instagram,control,English,English,36-45 years,,
a100002729,1/28/2018,Instagram,control,English,English,45-55 years,,
a100002730,1/28/2018,Facebook,control,English,English,0-18 years,,
a100002731,1/29/2018,Youtube,control,English,English,19-24 years,,
a100002732,1/29/2018,Youtube,control,English,English,24-30 years,,
a100002733,1/29/2018,Youtube,control,English,English,30-36 years,,
a100002734,1/29/2018,LinkedIn,control,English,English,36-45 years,,
a100002735,1/29/2018,Facebook,control,English,English,45-55 years,,
a100002736,1/29/2018,Instagram,control,English,English,0-18 years,,
a100002737,1/29/2018,Instagram,control,English,English,19-24 years,,
a100002738,1/30/2018,Facebook,control,English,English,24-30 years,,
a100002739,1/30/2018,Youtube,control,English,English,30-36 years,,
a100002740,1/30/2018,Youtube,control,English,English,36-45 years,,
a100002741,1/30/2018,Youtube,control,English,English,45-55 years,,
a100002742,1/30/2018,LinkedIn,control,English,English,0-18 years,,
a100002743,1/30/2018,Facebook,control,English,English,19-24 years,,
a100002744,1/30/2018,Instagram,control,English,English,24-30 years,,
a100002745,1/31/2018,Instagram,control,English,English,30-36 years,,
a100002746,1/31/2018,Facebook,control,English,English,36-45 years,,
a100002747,1/31/2018,Youtube,control,English,English,45-55 years,,
a100002748,1/31/2018,Youtube,control,English,English,0-18 years,,
a100002749,1/31/2018,Youtube,control,English,Spanish,19-24 years,,
a100002750,1/31/2018,LinkedIn,control,English,English,24-30 years,,
a100002751,1/31/2018,Facebook,control,English,English,30-36 years,,
a100002752,1/1/2018,Instagram,control,English,English,36-45 years,,
a100002753,1/1/2018,Instagram,control,English,English,45-55 years,,
a100002754,1/1/2018,Facebook,control,English,English,0-18 years,,
a100002755,1/1/2018,Youtube,control,English,English,19-24 years,,
a100002756,1/1/2018,Youtube,control,English,English,24-30 years,,
a100002757,1/1/2018,Youtube,control,English,English,30-36 years,,
a100002758,1/1/2018,LinkedIn,control,English,English,36-45 years,,
a100002759,1/2/2018,Facebook,control,English,English,45-55 years,,
a100002760,1/2/2018,Instagram,control,English,English,0-18 years,,
a100002761,1/2/2018,Instagram,control,English,English,19-24 years,,
a100002762,1/2/2018,Facebook,control,English,English,24-30 years,,
a100002763,1/2/2018,Youtube,control,English,English,30-36 years,,
a100002764,1/2/2018,Youtube,control,English,English,36-45 years,,
a100002765,1/2/2018,Youtube,control,Spanish,Spanish,45-55 years,,
a100002766,1/3/2018,LinkedIn,control,English,English,0-18 years,,
a100002767,1/3/2018,Facebook,control,English,English,19-24 years,,
a100002768,1/3/2018,Instagram,control,English,English,24-30 years,,
a100002769,1/3/2018,Instagram,control,English,English,30-36 years,,
a100002770,1/3/2018,Facebook,control,English,English,36-45 years,,
a100002771,1/3/2018,Youtube,control,English,English,45-55 years,,
a100002772,1/3/2018,Youtube,control,English,English,0-18 years,,
a100002773,1/4/2018,Youtube,control,English,English,19-24 years,,
a100002774,1/4/2018,LinkedIn,control,English,English,24-30 years,,
a100002775,1/4/2018,Facebook,control,English,English,30-36 years,,
a100002776,1/4/2018,Instagram,control,English,English,36-45 years,,
a100002777,1/4/2018,Instagram,control,English,English,45-55 years,,
a100002778,1/4/2018,Facebook,control,English,English,0-18 years,,
a100002779,1/4/2018,Youtube,control,English,English,19-24 years,,
a100002780,1/5/2018,Youtube,control,English,English,24-30 years,,
a100002781,1/5/2018,Youtube,control,English,English,30-36 years,,
a100002782,1/5/2018,LinkedIn,control,English,English,36-45 years,,
a100002783,1/5/2018,Facebook,control,English,English,45-55 years,,
a100002784,1/5/2018,Instagram,control,English,English,0-18 years,,
a100002785,1/5/2018,Instagram,control,English,English,19-24 years,,
a100002786,1/5/2018,Facebook,control,English,English,24-30 years,,
a100002787,1/6/2018,Youtube,control,English,English,30-36 years,,
a100002788,1/6/2018,Youtube,control,English,English,36-45 years,,
a100002789,1/6/2018,Youtube,control,English,English,45-55 years,,
a100002790,1/6/2018,LinkedIn,control,English,English,0-18 years,,
a100002791,1/6/2018,Facebook,control,English,English,19-24 years,,
a100002792,1/6/2018,Instagram,control,English,English,24-30 years,,
a100002793,1/6/2018,Instagram,control,English,English,30-36 years,,
a100002794,1/7/2018,Facebook,control,English,English,36-45 years,,
a100002795,1/7/2018,Youtube,control,English,English,45-55 years,,
a100002796,1/7/2018,Youtube,control,English,English,0-18 years,,
a100002797,1/7/2018,Youtube,control,English,English,19-24 years,,
a100002798,1/7/2018,LinkedIn,control,English,English,24-30 years,,
a100002799,1/7/2018,Facebook,control,English,English,30-36 years,,
a100002800,1/8/2018,Instagram,control,English,English,36-45 years,,
a100002801,1/8/2018,Instagram,control,English,English,45-55 years,,
a100002802,1/8/2018,Facebook,control,English,English,0-18 years,,
a100002803,1/8/2018,Youtube,control,English,English,19-24 years,,
a100002804,1/8/2018,Youtube,control,Spanish,Spanish,24-30 years,,
a100002805,1/8/2018,Youtube,control,English,English,30-36 years,,
a100002806,1/8/2018,LinkedIn,control,English,English,36-45 years,,
a100002807,1/9/2018,Facebook,control,English,English,45-55 years,,
a100002808,1/9/2018,Instagram,control,English,English,0-18 years,,
a100002809,1/9/2018,Instagram,control,English,English,19-24 years,,
a100002810,1/9/2018,Facebook,control,English,English,24-30 years,,
a100002811,1/9/2018,Youtube,control,English,English,30-36 years,,
a100002812,1/9/2018,Youtube,control,English,English,36-45 years,,
a100002813,1/9/2018,Youtube,control,English,English,45-55 years,,
a100002814,1/10/2018,LinkedIn,control,English,English,0-18 years,,
a100002815,1/10/2018,Facebook,control,English,English,19-24 years,,
a100002816,1/10/2018,Instagram,control,English,English,24-30 years,,
a100002817,1/10/2018,Instagram,control,English,English,30-36 years,,
a100002818,1/10/2018,Facebook,control,English,English,36-45 years,,
a100002819,1/10/2018,Youtube,control,Spanish,Spanish,45-55 years,,
a100002820,1/10/2018,Youtube,control,English,English,0-18 years,,
a100002821,1/11/2018,Youtube,control,English,English,19-24 years,,
a100002822,1/11/2018,LinkedIn,control,English,English,24-30 years,,
a100002823,1/11/2018,Facebook,control,English,English,30-36 years,,
a100002824,1/11/2018,Instagram,control,English,English,36-45 years,,
a100002825,1/11/2018,Instagram,control,English,English,45-55 years,,
a100002826,1/11/2018,Facebook,control,English,English,0-18 years,,
a100002827,1/11/2018,Youtube,control,English,English,19-24 years,,
a100002828,1/12/2018,Youtube,control,English,English,24-30 years,,
a100002829,1/12/2018,Youtube,control,English,English,30-36 years,,
a100002830,1/12/2018,LinkedIn,control,English,English,36-45 years,,
a100002831,1/12/2018,Facebook,control,English,English,45-55 years,,
a100002832,1/12/2018,Instagram,control,English,English,0-18 years,,
a100002833,1/12/2018,Instagram,control,English,English,19-24 years,,
a100002834,1/12/2018,Facebook,control,English,English,24-30 years,,
a100002835,1/13/2018,Youtube,control,English,English,30-36 years,,
a100002836,1/13/2018,Youtube,control,English,English,36-45 years,,
a100002837,1/13/2018,Youtube,control,English,Spanish,45-55 years,,
a100002838,1/13/2018,LinkedIn,control,English,English,0-18 years,,
a100002839,1/13/2018,Facebook,control,English,English,19-24 years,,
a100002840,1/13/2018,Instagram,control,English,English,24-30 years,,
a100002841,1/13/2018,Instagram,control,English,English,30-36 years,,
a100002842,1/14/2018,Facebook,control,English,English,36-45 years,,
a100002843,1/14/2018,Youtube,control,English,English,45-55 years,,
a100002844,1/14/2018,Youtube,control,English,English,0-18 years,,
a100002845,1/14/2018,Youtube,control,English,English,19-24 years,,
a100002846,1/14/2018,LinkedIn,control,English,English,24-30 years,,
a100002847,1/14/2018,Facebook,control,English,English,30-36 years,,
a100002848,1/14/2018,Instagram,control,English,English,36-45 years,,
a100002849,1/15/2018,Instagram,control,English,English,45-55 years,,
a100002850,1/15/2018,Facebook,control,English,English,0-18 years,,
a100002851,1/15/2018,Youtube,control,English,English,19-24 years,,
a100002852,1/15/2018,Youtube,control,English,English,24-30 years,,
a100002853,1/15/2018,Youtube,control,English,English,30-36 years,,
a100002854,1/15/2018,LinkedIn,control,English,English,36-45 years,,
a100002855,1/15/2018,Facebook,control,English,English,45-55 years,,
a100002856,1/16/2018,Instagram,control,English,English,0-18 years,,
a100002857,1/16/2018,Instagram,control,English,English,19-24 years,,
a100002858,1/16/2018,Facebook,control,English,English,24-30 years,,
a100002859,1/16/2018,Youtube,control,English,English,30-36 years,,
a100002860,1/16/2018,Youtube,control,English,Spanish,36-45 years,,
a100002861,1/16/2018,Youtube,control,English,English,45-55 years,,
a100002862,1/16/2018,LinkedIn,control,English,English,0-18 years,,
a100002863,1/17/2018,Facebook,control,English,English,19-24 years,,
a100002864,1/17/2018,Instagram,control,English,English,24-30 years,,
a100002865,1/17/2018,Instagram,control,English,English,30-36 years,,
a100002866,1/17/2018,Facebook,control,English,English,36-45 years,,
a100002867,1/17/2018,Youtube,control,English,English,45-55 years,,
a100002868,1/17/2018,Youtube,control,English,English,0-18 years,,
a100002869,1/17/2018,Youtube,control,English,English,19-24 years,,
a100002870,1/18/2018,LinkedIn,control,English,English,24-30 years,,
a100002871,1/18/2018,Facebook,control,English,English,30-36 years,,
a100002872,1/18/2018,Instagram,control,English,English,36-45 years,,
a100002873,1/18/2018,Instagram,control,English,English,45-55 years,,
a100002874,1/18/2018,Facebook,control,English,English,0-18 years,,
a100002875,1/18/2018,Youtube,control,English,Spanish,19-24 years,,
a100002876,1/18/2018,Youtube,control,English,English,24-30 years,,
a100002877,1/19/2018,Youtube,control,English,English,30-36 years,,
a100002878,1/19/2018,LinkedIn,control,English,English,36-45 years,,
a100002879,1/19/2018,Facebook,control,English,English,45-55 years,,
a100002880,1/19/2018,Instagram,control,English,English,0-18 years,,
a100002881,1/19/2018,Instagram,control,English,English,19-24 years,,
a100002882,1/19/2018,Facebook,control,English,English,24-30 years,,
a100002883,1/19/2018,Youtube,control,English,Spanish,30-36 years,,
a100002884,1/20/2018,Youtube,control,English,English,36-45 years,,
a100002885,1/20/2018,Youtube,control,English,English,45-55 years,,
a100002886,1/20/2018,LinkedIn,control,English,English,0-18 years,,
a100002887,1/20/2018,Facebook,control,English,English,19-24 years,,
a100002888,1/20/2018,Instagram,control,English,English,24-30 years,,
a100002889,1/20/2018,Instagram,control,English,English,30-36 years,,
a100002890,1/20/2018,Facebook,control,English,English,36-45 years,,
a100002891,1/21/2018,Youtube,control,English,English,45-55 years,,
a100002892,1/21/2018,Youtube,control,English,Spanish,0-18 years,,
a100002893,1/21/2018,Youtube,control,English,English,19-24 years,,
a100002894,1/21/2018,LinkedIn,control,English,English,24-30 years,,
a100002895,1/21/2018,Facebook,control,English,English,30-36 years,,
a100002896,1/21/2018,Instagram,control,English,English,36-45 years,,
a100002897,1/21/2018,Instagram,control,English,English,45-55 years,,
a100002898,1/22/2018,Facebook,control,English,English,0-18 years,,
a100002899,1/22/2018,Youtube,control,English,English,19-24 years,,
a100002900,1/22/2018,Youtube,control,English,English,24-30 years,,
a100002901,1/22/2018,Youtube,control,English,English,30-36 years,,
a100002902,1/22/2018,LinkedIn,control,English,English,36-45 years,,
a100002903,1/22/2018,Facebook,control,English,English,45-55 years,,
a100002904,1/22/2018,Instagram,control,English,English,0-18 years,,
a100002905,1/23/2018,Instagram,control,English,English,19-24 years,,
a100002906,1/23/2018,Facebook,control,English,English,24-30 years,,
a100002907,1/23/2018,Youtube,control,English,English,30-36 years,,
a100002908,1/23/2018,Youtube,control,English,Spanish,36-45 years,,
a100002909,1/23/2018,Youtube,control,English,English,45-55 years,,
a100002910,1/23/2018,LinkedIn,control,English,English,0-18 years,,
a100002911,1/23/2018,Facebook,control,English,English,19-24 years,,
a100002912,1/24/2018,Instagram,control,English,English,24-30 years,,
a100002913,1/24/2018,Instagram,control,English,English,30-36 years,,
a100002914,1/24/2018,Facebook,control,English,English,36-45 years,,
a100002915,1/24/2018,Youtube,control,English,English,45-55 years,,
a100002916,1/24/2018,Youtube,control,English,English,0-18 years,,
a100002917,1/24/2018,Youtube,control,English,English,19-24 years,,
a100002918,1/24/2018,LinkedIn,control,English,English,24-30 years,,
a100002919,1/24/2018,Facebook,control,English,English,30-36 years,,
a100002920,1/25/2018,Instagram,control,English,English,36-45 years,,
a100002921,1/25/2018,Instagram,control,English,English,45-55 years,,
a100002922,1/25/2018,Facebook,control,English,English,0-18 years,,
a100002923,1/25/2018,Youtube,control,English,English,19-24 years,,
a100002924,1/25/2018,Youtube,control,English,English,24-30 years,,
a100002925,1/25/2018,Youtube,control,English,English,30-36 years,,
a100002926,1/25/2018,LinkedIn,control,English,English,36-45 years,,
a100002927,1/26/2018,Facebook,control,English,English,45-55 years,,
a100002928,1/26/2018,Instagram,control,English,English,0-18 years,,
a100002929,1/26/2018,Instagram,control,English,English,19-24 years,,
a100002930,1/26/2018,Facebook,control,English,English,24-30 years,,
a100002931,1/26/2018,Youtube,control,English,English,30-36 years,,
a100002932,1/26/2018,Youtube,control,English,English,36-45 years,,
a100002933,1/26/2018,Youtube,control,English,Spanish,45-55 years,,
a100002934,1/27/2018,LinkedIn,control,English,English,0-18 years,,
a100002935,1/27/2018,Facebook,control,English,English,19-24 years,,
a100002936,1/27/2018,Instagram,control,English,English,24-30 years,,
a100002937,1/27/2018,Instagram,control,English,English,30-36 years,,
a100002938,1/27/2018,Facebook,control,English,English,36-45 years,,
a100002939,1/27/2018,Youtube,control,English,English,45-55 years,,
a100002940,1/27/2018,Youtube,control,English,English,0-18 years,,
a100002941,1/28/2018,Youtube,control,English,English,19-24 years,,
a100002942,1/28/2018,LinkedIn,control,English,English,24-30 years,,
a100002943,1/28/2018,Facebook,control,English,English,30-36 years,,
a100002944,1/28/2018,Instagram,control,English,English,36-45 years,,
a100002945,1/28/2018,Instagram,control,English,English,45-55 years,,
a100002946,1/28/2018,Facebook,control,English,English,0-18 years,,
a100002947,1/28/2018,Youtube,control,English,Spanish,19-24 years,,
a100002948,1/29/2018,Youtube,control,English,English,24-30 years,,
a100002949,1/29/2018,Youtube,control,English,English,30-36 years,,
a100002950,1/29/2018,LinkedIn,control,English,English,36-45 years,,
a100002951,1/29/2018,Facebook,control,English,English,45-55 years,,
a100002952,1/29/2018,Instagram,control,English,English,0-18 years,,
a100002953,1/29/2018,Instagram,control,English,English,19-24 years,,
a100002954,1/29/2018,Facebook,control,English,English,24-30 years,,
a100002955,1/30/2018,Youtube,control,English,English,30-36 years,,
a100002956,1/30/2018,Youtube,control,English,English,36-45 years,,
a100002957,1/30/2018,Youtube,control,English,English,45-55 years,,
a100002958,1/30/2018,LinkedIn,control,English,English,0-18 years,,
a100002959,1/30/2018,Facebook,control,English,English,19-24 years,,
a100002960,1/30/2018,Instagram,control,English,English,24-30 years,,
a100002961,1/30/2018,Instagram,control,English,English,30-36 years,,
a100002962,1/31/2018,Facebook,control,English,English,36-45 years,,
a100002963,1/31/2018,Youtube,control,English,English,45-55 years,,
a100002964,1/31/2018,Youtube,control,English,English,0-18 years,,
a100002965,1/31/2018,Youtube,control,English,English,19-24 years,,
a100002966,1/31/2018,LinkedIn,control,English,English,24-30 years,,
a100002967,1/31/2018,Facebook,control,English,English,30-36 years,,
a100002968,1/31/2018,Instagram,control,English,English,36-45 years,,
a100002969,1/1/2018,Instagram,control,English,English,45-55 years,,
a100002970,1/1/2018,Facebook,control,English,English,0-18 years,,
a100002971,1/1/2018,Youtube,control,English,English,19-24 years,,
a100002972,1/1/2018,Youtube,control,Spanish,Spanish,24-30 years,,
a100002973,1/1/2018,Youtube,control,English,English,30-36 years,,
a100002974,1/1/2018,LinkedIn,control,English,English,36-45 years,,
a100002975,1/1/2018,Facebook,control,English,English,45-55 years,,
a100002976,1/2/2018,Instagram,control,English,English,0-18 years,,
a100002977,1/18/2018,Youtube,control,English,English,0-18 years,,
a100002978,1/2/2018,Instagram,control,English,English,19-24 years,,
a100002979,1/18/2018,Youtube,control,English,English,19-24 years,,
a100002980,1/2/2018,Facebook,control,English,English,24-30 years,,
a100002981,1/18/2018,Youtube,control,English,English,24-30 years,,
a100002982,1/2/2018,Youtube,control,English,English,30-36 years,,
a100002983,1/18/2018,Youtube,control,English,English,30-36 years,,
a100002984,1/2/2018,Youtube,control,English,English,36-45 years,,
a100002985,1/19/2018,Youtube,control,English,English,36-45 years,,
a100002986,1/2/2018,Youtube,control,English,English,45-55 years,,
a100002987,1/19/2018,Youtube,control,English,English,45-55 years,,
a100002988,1/2/2018,LinkedIn,control,English,English,0-18 years,,
a100002989,1/19/2018,Youtube,control,English,English,0-18 years,,
a100002990,1/3/2018,Facebook,control,English,English,19-24 years,,
a100002991,1/19/2018,Youtube,control,English,English,19-24 years,,
a100002992,1/3/2018,Instagram,control,English,English,24-30 years,,
a100002993,1/19/2018,Youtube,control,English,English,24-30 years,,
a100002994,1/3/2018,Instagram,control,English,English,30-36 years,,
a100002995,1/19/2018,Youtube,control,English,English,30-36 years,,
a100002996,1/3/2018,Facebook,control,English,English,36-45 years,,
a100002997,1/19/2018,Youtube,control,English,English,36-45 years,,
a100002998,1/3/2018,Youtube,control,English,English,45-55 years,,
a100002999,1/20/2018,Youtube,control,English,English,45-55 years,,
a100003000,1/3/2018,Youtube,control,English,English,0-18 years,,
a100003001,1/20/2018,Youtube,control,English,English,0-18 years,,
a100003002,1/3/2018,Youtube,control,English,English,19-24 years,,
a100003003,1/20/2018,Youtube,control,English,English,19-24 years,,
a100003004,1/4/2018,LinkedIn,control,English,English,24-30 years,,
